Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_Interval_Low,Confidence_Interval_High,Break_Out_Category,Break_Out,CategoryId,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2009-2010,US,United States,NHANES,None,ABCS,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension; NHANES,Crude,Percent (%),57.1,57.1,,,52.5,61.6,Age,45-64,C2,T9,NH023,Crude,BOC03,AGE05,59,
2011-2012,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Nutrition,Mean dietary sodium intake (mg/day) among US adults (18+); NHANES,Crude,Mean (mg/day),3492.0,3492.0,,,3393.0,3592.0,Age,35+,C2,T12,NH073,Crude,BOC03,AGE07,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Crude,Percent (%),21.5,21.5,,,19.5,23.6,Gender,Female,C2,T9,NH024,Crude,BOC02,GEN02,59,
2013-2014,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of healthy weight among US adults (20+); NHANES,Age-Standardized,Percent (%),31.3,31.3,,,28.9,33.9,Gender,Female,C2,T13,NH072,AgeStdz,BOC02,GEN02,59,
2009-2010,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (20+); NHANES,Crude,Percent (%),34.4,34.4,,,28.4,40.9,Race,Non-Hispanic Black,C2,T15,NH074,Crude,BOC04,RAC02,59,
2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Nutrition,Prevalence of poor diet score among US adults (20+); NHANES,Crude,Percent (%),84.9,84.9,,,83.0,86.5,Gender,Male,C2,T12,NH501,Crude,BOC02,GEN01,59,
2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of poor blood pressure status among US adults (20+); NHANES,Age-Standardized,Percent (%),12.7,12.7,,,10.3,15.4,Race,Non-Hispanic White,C2,T9,NH201,AgeStdz,BOC04,RAC01,59,
2011-2012,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum total cholesterol among US adults (20+); NHANES,Crude,Percent (%),13.9,13.9,,,11.8,16.3,Race,Non-Hispanic White,C2,T10,NH063,Crude,BOC04,RAC01,59,
2009-2010,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Cholesterol Abnormalities,Prevalence of poor cholesterol status among US adults (20+); NHANES,Crude,Percent (%),12.1,12.1,,,7.0,20.0,Race,Other,C2,T10,NH301,Crude,BOC04,RAC07,59,
2007-2008,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Hispanic,C2,T9,NH024,Crude,BOC04,RAC04,59,
2003-2004,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Hispanic,C2,T9,NH203,Crude,BOC04,RAC04,59,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),20.6,20.6,,,17.3,24.2,Age,75+,C2,T11,NH070,Crude,BOC03,AGE08,59,
2003-2004,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Other,C1,T6,NH005,Crude,BOC04,RAC07,59,
2009-2010,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of ideal HbA1c and fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),68.9,68.9,,,65.8,71.8,Gender,Female,C2,T11,NH403,Crude,BOC02,GEN02,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); NHANES,Crude,Percent (%),70.2,70.2,,,66.3,73.8,Age,65+,C2,T9,NH020,Crude,BOC03,AGE06,59,
2009-2010,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),65.3,65.3,,,57.7,72.1,Race,Non-Hispanic White,C2,T9,NH022,AgeStdz,BOC04,RAC01,59,
2009-2010,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of poor smoking status among US adults (20+); NHANES,Crude,Percent (%),19.7,19.7,,,17.8,21.9,Race,Non-Hispanic White,C2,T15,NH801,Crude,BOC04,RAC01,59,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension awareness among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),81.2,81.2,,,74.2,86.7,Race,Non-Hispanic Black,C2,T9,NH021,AgeStdz,BOC04,RAC02,59,
2015-2016,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Age,25-44,C1,T6,NH005,Crude,BOC03,AGE04,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Health among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic Black,C2,T21,NH103,AgeStdz,BOC04,RAC02,59,
2013-2014,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),59.7,59.7,,,53.0,66.0,Gender,Male,C2,T9,NH022,AgeStdz,BOC02,GEN01,59,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Hispanic,C2,T10,NH065,AgeStdz,BOC04,RAC04,59,
2011-2012,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Health among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Age,45-64,C2,T21,NH103,Crude,BOC03,AGE05,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Cholesterol Abnormalities,Prevalence of ideal cholesterol status among US adults (20+); NHANES,Crude,Percent (%),48.1,48.1,,,43.9,52.2,Race,Other,C2,T10,NH303,Crude,BOC04,RAC07,59,
2009-2010,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Crude,Percent (%),4.2,4.2,,,3.4,5.1,Age,35+,C1,T3,NH004,Crude,BOC03,AGE07,59,
2011-2012,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Age-Standardized,Percent (%),25.6,25.6,,,23.5,27.8,Race,Hispanic,C2,T9,NH024,AgeStdz,BOC04,RAC04,59,
2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Age-Standardized,Percent (%),12.6,12.6,,,10.2,15.4,Race,Non-Hispanic Asian,C2,T13,NH601,AgeStdz,BOC04,RAC03,59,
2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Nutrition,Prevalence of poor diet score among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic Asian,C2,T12,NH501,AgeStdz,BOC04,RAC03,59,
2003-2004,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of poor blood pressure status among US adults (20+); NHANES,Age-Standardized,Percent (%),21.5,21.5,,,16.6,27.4,Race,Other,C2,T9,NH201,AgeStdz,BOC04,RAC07,59,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Hispanic,C2,T10,NH065,AgeStdz,BOC04,RAC04,59,
2007-2008,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (20+); NHANES,Crude,Percent (%),4.5,4.5,,,3.9,5.2,Age,35+,C1,T4,NH003,Crude,BOC03,AGE07,59,
2003-2004,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic White,C2,T10,NH061,Crude,BOC04,RAC01,59,
2011-2012,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),7.7,7.7,,,5.8,10.2,Race,Other,C1,T1,NH001,AgeStdz,BOC04,RAC07,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),67.6,67.6,,,63.2,71.6,Race,Non-Hispanic White,C2,T10,NH066,Crude,BOC04,RAC01,59,
2007-2008,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (20+); NHANES,Crude,Percent (%),28.8,28.8,,,24.6,33.3,Race,Non-Hispanic White,C2,T15,NH074,Crude,BOC04,RAC01,59,
2003-2004,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of poor blood pressure status among US adults (20+); NHANES,Crude,Percent (%),20.0,20.0,,,18.0,22.1,Gender,Female,C2,T9,NH201,Crude,BOC02,GEN02,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum total cholesterol among US adults (20+); NHANES,Crude,Percent (%),20.7,20.7,,,18.0,23.7,Age,75+,C2,T10,NH063,Crude,BOC03,AGE08,59,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of recommended statin therapy for cholesterol management among US adults (21+); NHANES,Crude,Percent (%),31.8,31.8,,,29.6,34.1,Race,Non-Hispanic White,C2,T10,NH060,Crude,BOC04,RAC01,59,
2003-2004,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),0.0,0.0,,,,,Age,20-24,C1,T6,NH005,Crude,BOC03,AGE02,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Age-Standardized,Percent (%),33.0,33.0,,,30.1,36.0,Gender,Female,C2,T13,NH071,AgeStdz,BOC02,GEN02,59,
2005-2006,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Nutrition,Prevalence of ideal diet score among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Gender,Male,C2,T12,NH503,Crude,BOC02,GEN01,59,
2011-2012,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of poor smoking status among US adults (20+); NHANES,Crude,Percent (%),16.2,16.2,,,13.9,18.8,Gender,Female,C2,T15,NH801,Crude,BOC02,GEN02,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Mean serum total cholesterol among US adults (20+); NHANES,Crude,Mean (mg/dL),216.0,216.0,,,214.0,218.0,Age,65+,C2,T10,NH067,Crude,BOC03,AGE06,59,
2017-2018,US,United States,NHANES,None,ABCS,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension; NHANES,Crude,Percent (%),44.5,44.5,,,39.6,49.5,Age,65+,C2,T9,NH023,Crude,BOC03,AGE06,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of poor physical activity levels among US adults (20+); NHANES,Age-Standardized,Percent (%),48.0,48.0,,,43.2,52.8,Race,Non-Hispanic Black,C2,T14,NH701,AgeStdz,BOC04,RAC02,59,
2013-2014,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Age,21-24,C2,T10,NH061,Crude,BOC03,AGE03,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of ideal smoking status among US adults (20+); NHANES,Age-Standardized,Percent (%),81.6,81.6,,,80.0,83.1,Gender,Female,C2,T15,NH803,AgeStdz,BOC02,GEN02,59,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension awareness among US adults (18+) with hypertension; NHANES,Crude,Percent (%),79.7,79.7,,,75.7,83.2,Age,65+,C2,T9,NH021,Crude,BOC03,AGE06,59,
2005-2006,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of ideal HbA1c and fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),76.6,76.6,,,73.3,79.7,Race,Non-Hispanic White,C2,T11,NH403,Crude,BOC04,RAC01,59,
2009-2010,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Cholesterol Abnormalities,Prevalence of poor cholesterol status among US adults (20+); NHANES,Crude,Percent (%),10.0,10.0,,,7.7,12.8,Race,Non-Hispanic Black,C2,T10,NH301,Crude,BOC04,RAC02,59,
2003-2004,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic Asian,C2,T15,NH074,AgeStdz,BOC04,RAC03,59,
2013-2014,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,Age-Standardized,Percent (%),3.5,3.5,,,2.5,4.8,Race,Non-Hispanic Black,C1,T5,NH002,AgeStdz,BOC04,RAC02,59,
2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of ideal HbA1c and fasting glucose status among US adults (20+); NHANES,Age-Standardized,Percent (%),62.9,62.9,,,60.7,65.0,Race,Hispanic,C2,T11,NH403,AgeStdz,BOC04,RAC04,59,
2013-2014,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),5.5,5.5,,,3.8,7.8,Race,Other,C1,T1,NH001,Crude,BOC04,RAC07,59,
2017-2018,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic Asian,C1,T6,NH005,Crude,BOC04,RAC03,59,
2015-2016,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Crude,Percent (%),3.6,3.6,,,2.7,4.8,Age,45-64,C1,T3,NH004,Crude,BOC03,AGE05,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of poor blood pressure status among US adults (20+); NHANES,Crude,Percent (%),19.6,19.6,,,17.8,21.6,Overall,Overall,C2,T9,NH201,Crude,BOC01,OVR01,59,
2011-2012,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of ideal HbA1c and fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),67.5,67.5,,,62.5,72.1,Gender,Female,C2,T11,NH403,Crude,BOC02,GEN02,59,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of recommended statin therapy for cholesterol management among US adults (21+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Age,45-64,C2,T10,NH060,Crude,BOC03,AGE05,59,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension awareness among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),73.3,73.3,,,64.7,80.4,Race,Non-Hispanic White,C2,T9,NH021,AgeStdz,BOC04,RAC01,59,
2015-2016,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Crude,Percent (%),38.0,38.0,,,33.7,42.4,Gender,Male,C2,T13,NH071,Crude,BOC02,GEN01,59,
2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Percent (%),12.1,12.1,,,10.4,14.1,Age,65+,C2,T9,NH203,Crude,BOC03,AGE06,59,
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Crude,Percent (%),20.2,20.2,,,17.7,22.9,Age,45-64,C2,T10,NH064,Crude,BOC03,AGE05,59,
2005-2006,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Age-Standardized,Percent (%),25.1,25.1,,,21.5,29.2,Race,Non-Hispanic Black,C2,T11,NH401,AgeStdz,BOC04,RAC02,59,
1999-2000,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Hispanic,C1,T6,NH005,AgeStdz,BOC04,RAC04,59,
2015-2016,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),22.3,22.3,,,19.4,25.4,Age,65+,C1,T1,NH001,Crude,BOC03,AGE06,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),51.0,51.0,,,47.6,54.5,Overall,Overall,C2,T9,NH022,AgeStdz,BOC01,OVR01,59,
2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of ideal physical activity levels among US adults (20+); NHANES,Age-Standardized,Percent (%),38.5,38.5,,,34.0,43.2,Overall,Overall,C2,T14,NH703,AgeStdz,BOC01,OVR01,59,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Crude,Percent (%),17.1,17.1,,,14.2,20.5,Age,65+,C2,T10,NH064,Crude,BOC03,AGE06,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Nutrition,Prevalence of ideal diet score among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic White,C2,T12,NH503,Crude,BOC04,RAC01,59,
2005-2006,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic Asian,C2,T10,NH066,Crude,BOC04,RAC03,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of poor blood pressure status among US adults (20+); NHANES,Age-Standardized,Percent (%),14.1,14.1,,,12.1,16.5,Race,Non-Hispanic White,C2,T9,NH201,AgeStdz,BOC04,RAC01,59,
2011-2012,US,United States,NHANES,None,ABCS,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),55.6,55.6,,,46.6,64.2,Gender,Female,C2,T9,NH023,AgeStdz,BOC02,GEN02,59,
2005-2006,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Age-Standardized,Percent (%),32.5,32.5,,,29.3,35.8,Race,Non-Hispanic White,C2,T13,NH601,AgeStdz,BOC04,RAC01,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic Asian,C2,T11,NH401,Crude,BOC04,RAC03,59,
2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Nutrition,Prevalence of poor diet score among US adults (20+); NHANES,Age-Standardized,Percent (%),81.8,81.8,,,79.0,84.4,Gender,Male,C2,T12,NH501,AgeStdz,BOC02,GEN01,59,
2017-2018,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),76.7,76.7,,,71.4,81.2,Race,Non-Hispanic Asian,C2,T10,NH066,Crude,BOC04,RAC03,59,
2011-2012,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of ideal HbA1c and fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),60.4,60.4,,,51.3,68.8,Race,Other,C2,T11,NH403,Crude,BOC04,RAC07,59,
2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of poor smoking status among US adults (20+); NHANES,Crude,Percent (%),8.4,8.4,,,6.6,10.6,Race,Non-Hispanic Asian,C2,T15,NH801,Crude,BOC04,RAC03,59,
2001-2002,US,United States,NHANES,None,ABCS,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension; NHANES,Crude,Percent (%),30.6,30.6,,,24.8,37.0,Age,75+,C2,T9,NH023,Crude,BOC03,AGE08,59,
2009-2010,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),11.7,11.7,,,9.9,13.8,Age,75+,C1,T6,NH005,Crude,BOC03,AGE08,59,
2013-2014,US,United States,NHANES,None,ABCS,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+); NHANES,Crude,Percent (%),70.2,70.2,,,62.0,77.2,Gender,Female,C2,T8,NH010,Crude,BOC02,GEN02,59,
